,USA,CAN,MEX,CRI,PAN,BRA,ARG,CHL,URY,BOL,PER,EGY,LBY,ZAF,NGA,MAR,AUS,CHN,IND,THA,JPN,KOR,ISR,SAU,MYS,IDN,RUS,TUR,ESP,BGR,FRA,ITA,DEU,GBR,NOR,SWE,GRC
2021,77.4768,81.7313,75.2197,80.6508,78.8813,76.3372,76.9589,80.4879,78.2053,72.0152,77.1508,72.31,73.2326,64.6418,55.3299,77.1195,83.5377,77.2539,70.1134,77.5203,84.8563,83.9952,82.9769,75.4394,76.4487,72.0908,69.9532,78.309,83.5965,73.6565,82.4261,84.5703,81.3048,81.4953,83.3469,83.464,81.3777
2022,77.3891,81.7256,75.3159,80.8339,79.0385,76.5553,77.1049,80.6586,78.36,72.2484,77.35,72.47,73.3693,64.9095,55.6271,77.3403,83.8113,77.4096,70.3344,77.6893,84.9767,84.2676,83.1212,75.6106,76.5862,72.2697,68.9182,78.6836,83.1865,73.7113,82.6638,84.8225,81.3201,81.6105,83.531,83.7039,81.6648
2023,77.1681,81.7198,75.4154,81.0116,79.1948,76.7724,77.2512,80.8414,78.5206,72.4731,77.5474,72.63,73.4974,65.2399,55.9128,77.5685,84.1812,77.5632,70.5505,77.8625,85.097,84.8077,83.2655,75.7923,76.7193,72.4489,68.1941,79.0518,83.7898,73.7821,82.9014,85.0748,81.4247,81.7273,83.6971,83.8844,81.9492
2024,76.947,81.714,75.5141,81.181,79.3498,76.9852,77.3978,81.0359,78.6867,72.6916,77.7455,72.79,73.6206,65.5985,56.1883,77.8093,84.2661,77.7149,70.7619,78.051,85.2174,85.0801,83.4098,75.9828,76.8481,72.6307,67.7269,79.4136,83.7792,73.8528,83.1391,85.3271,81.6831,81.8405,83.8804,84.0564,82.231
2025,76.7259,81.7082,75.6089,81.3395,79.5034,77.2003,77.5446,81.2411,78.8578,72.9061,77.9463,72.95,73.7403,66.0579,56.454,78.0671,84.5086,77.8647,70.9687,78.2639,85.3377,85.6202,83.5541,76.1801,76.9718,72.8154,67.4594,79.7689,84.1406,73.9235,83.3767,85.5794,81.8334,81.9578,84.0807,84.2372,82.5103
2026,76.5049,81.7024,75.6975,81.485,79.6552,77.4142,77.6916,81.4559,79.0327,73.1184,78.1508,73.11,73.8546,66.5628,56.7093,78.3449,84.7306,78.0127,71.1709,78.5068,85.4581,85.8926,83.6985,76.382,77.0888,73.0013,67.3376,80.1179,84.2766,73.9943,83.6144,85.8317,82.0596,82.0715,84.2258,84.4095,82.7872
2027,76.2838,81.6966,75.7784,81.6155,79.8052,77.6268,77.8386,81.6791,79.2107,73.3302,78.3592,73.27,73.9594,67.1982,56.9538,78.6446,84.8833,78.1592,71.3687,78.7818,85.5784,86.4327,83.8428,76.5866,77.1978,73.1856,67.315,80.4606,84.5491,74.065,83.8521,86.084,82.2326,82.1894,84.4099,84.5906,83.0618
2028,76.0628,81.6909,75.8517,81.7299,79.9531,77.8348,77.9856,81.9092,79.3904,73.5431,78.5709,73.43,74.0495,67.8913,57.1878,78.9664,85.2021,78.3042,71.5622,79.0876,85.6988,86.7051,83.9871,76.7923,77.2978,73.3647,67.3542,80.7969,84.7389,74.1357,84.0897,86.3363,82.4429,82.3037,84.576,84.7631,83.3343
2029,75.8417,81.6851,75.9178,81.8276,80.0986,78.0446,78.1326,82.1449,79.5711,73.7585,78.7851,73.59,74.1194,68.7378,57.4126,79.309,85.4856,78.4477,71.7515,79.4203,85.8192,87.2452,84.1314,76.9977,77.3887,73.5353,67.4266,81.1269,84.9788,74.2064,84.3274,86.5886,82.627,82.4222,84.7593,84.9444,83.6046
2030,75.6206,81.6793,75.9782,81.9086,80.2418,78.2528,78.2795,82.3847,79.7517,73.9776,79.0004,73.75,74.1652,69.65,57.6303,79.67,85.6782,78.5899,71.9366,79.7738,85.9395,87.5176,84.2757,77.2018,77.4713,73.6946,67.5119,81.4505,85.1884,74.2772,84.565,86.8409,82.8295,82.5371,84.9596,85.1172,83.873
